cardholderid,amount_avg_withdrawal,amount_std_withdrawal,withdrawal_day,amount_avg_deposit,amount_std_deposit,deposit_day,inquiry_day,amount_avg_transfer,amount_std_transfer,transfer_day
FC-001-1034,20637.64,23873.63,0.9753,6956.52,5278.8,0.189,0.1726,17507.94,21901.87,0.3452
EN-008-1037,19590.31,21626.65,0.6219,12368.42,5857.33,0.1562,0.1397,17817.07,19444.21,0.2247
FC-004-1019,21909.09,25262.74,1.0247,8766.67,6298.69,0.1644,0.1781,21595.42,25513.43,0.3589
KN-003-1108,20523.36,24956.32,0.2932,9107.14,4280.35,0.0767,0.0548,27456.14,30405.05,0.1562
EN-003-1026,19712.33,21592.86,0.6,12270.27,5900.32,0.1014,0.126,21680.0,24086.49,0.274
LA-001-1046,26988.89,24379.72,0.2466,9913.04,5008.29,0.063,0.0521,20622.22,21892.6,0.1233
LA-015-1193,25277.78,26236.85,0.1973,10814.81,5240.65,0.074,0.0658,20710.53,24649.88,0.1041
RI-001-1021,20609.52,22519.74,0.5753,12613.64,6354.69,0.1205,0.0932,22978.95,24608.41,0.2603
LA-012-1110,26968.75,27577.81,0.263,10916.67,5759.71,0.0329,0.0521,19409.09,16697.47,0.1205
KN-001-1145,16893.2,16967.05,0.2822,11200.0,5796.55,0.0411,0.0548,21659.57,20471.91,0.1288
RI-002-1040,20424.53,23759.44,0.5808,11000.0,5394.44,0.1123,0.1288,21211.27,21959.65,0.1945
EN-003-1088,18543.1,20455.59,0.6356,10956.52,5353.95,0.126,0.1397,20479.59,23098.73,0.2685
LA-013-1064,22734.04,23923.79,0.2575,10157.89,5469.75,0.0521,0.0685,24972.22,26948.08,0.0986
LA-001-1043,26195.4,26714.18,0.2384,11555.56,5606.95,0.0493,0.0438,18400.0,16895.84,0.137
RI-003-1008,21707.18,26024.08,0.4959,11677.42,5996.59,0.0849,0.1041,19010.53,20862.52,0.2603
EN-007-1088,21651.79,22605.89,0.6137,11446.81,5570.92,0.1288,0.1288,19023.53,24704.43,0.2329
EN-003-1018,21495.61,23738.02,0.6247,11567.57,5761.66,0.1014,0.126,25037.04,27238.97,0.2959
LA-002-1077,24051.02,24365.08,0.2685,11666.67,6259.11,0.0493,0.0767,21829.27,23941.49,0.1123
FC-002-1033,21086.21,25022.4,0.7945,9230.77,6837.49,0.2137,0.2,20828.57,23170.91,0.3836
LA-015-1043,21919.19,22078.1,0.2712,10904.76,5448.9,0.0575,0.0493,18351.35,15395.19,0.1014
LA-013-1218,26932.58,27336.62,0.2438,10666.67,5052.11,0.0411,0.0521,19780.49,20167.44,0.1123
EN-002-1046,27656.11,30461.59,0.6055,10904.76,5724.61,0.1151,0.126,23781.61,24279.11,0.2384
RI-003-1045,19767.2,22067.32,0.5178,11621.62,6138.91,0.1014,0.1068,23368.42,25399.65,0.2082
FC-005-1033,19223.88,21463.67,0.9178,10517.65,6723.47,0.2329,0.211,20600.0,24358.09,0.3699
LA-002-1169,23609.2,23034.53,0.2384,13047.62,6320.41,0.0575,0.0493,23951.22,29576.13,0.1123
RI-005-1064,19957.14,21438.08,0.5753,12950.0,6012.59,0.1096,0.126,22023.53,24052.51,0.2329
KN-009-1026,20238.81,20829.84,0.3671,11666.67,5543.77,0.0575,0.0466,23687.5,29555.69,0.1315
LA-015-1270,26069.44,25357.9,0.1973,12388.89,5668.68,0.0493,0.0493,15200.0,14522.97,0.0685
LA-010-1264,22475.61,22528.57,0.2247,10411.76,6529.35,0.0466,0.0356,19536.59,24107.15,0.1123
RI-003-1017,19620.69,21665.21,0.4767,12461.54,6176.55,0.1068,0.137,22556.82,25819.38,0.2411
LA-012-1141,31608.7,31498.93,0.189,13190.48,6161.32,0.0575,0.063,17813.95,21139.28,0.1178
LA-007-1045,19284.31,17600.84,0.2795,13000.0,5744.56,0.0301,0.0411,17172.41,22195.67,0.0795
LA-015-1205,22662.92,24890.19,0.2438,11117.65,5254.55,0.0466,0.0493,25028.57,27472.43,0.0959
KN-005-1036,24369.23,27594.56,0.3562,14181.82,6099.46,0.0603,0.0603,15180.0,16067.07,0.137
RI-008-1019,17955.67,20206.92,0.5562,11020.41,5673.37,0.1342,0.1342,22580.25,25623.17,0.2219
EN-002-1069,19889.91,22146.08,0.5973,11804.88,5857.56,0.1123,0.1315,21806.45,22380.24,0.2548
KN-008-1049,23169.64,25314.91,0.3068,13888.89,5672.7,0.074,0.0548,21763.16,21199.74,0.1041
RI-007-1055,17968.33,20093.73,0.6055,12318.18,6102.89,0.1205,0.0959,16000.0,17440.99,0.2356
EN-009-1073,23842.11,26773.28,0.6767,11361.11,5957.72,0.0986,0.0986,21744.9,24751.68,0.2685
FC-002-1042,22741.33,24113.14,1.0274,10635.29,6569.86,0.2329,0.1616,21811.19,25806.14,0.3918
LA-006-1111,23857.14,26204.62,0.3068,10043.48,4931.15,0.063,0.0603,21076.92,23248.53,0.1068
FC-005-1025,22794.2,24708.67,0.9452,9960.53,6434.16,0.2082,0.2,20201.22,20503.83,0.4493
KN-008-1001,21091.74,24340.39,0.2986,11863.64,5865.93,0.0603,0.0603,19326.09,20801.77,0.126
RI-002-1050,20298.51,23722.57,0.5507,11370.37,5594.12,0.1479,0.1068,22209.3,24734.41,0.2356
KN-002-1219,19123.71,23140.99,0.2658,11481.48,5787.06,0.074,0.0685,19560.98,20318.77,0.1123
RI-003-1110,21331.66,23495.77,0.5452,11729.73,5640.37,0.1014,0.0904,19662.5,21831.89,0.2192
RI-010-1037,21170.73,21509.58,0.5616,11714.29,5889.03,0.0959,0.1014,20234.57,24458.27,0.2219
LA-010-1195,21030.61,21803.93,0.2685,12266.67,5824.41,0.0411,0.0658,18648.65,18407.75,0.1014
LA-014-1233,23419.05,25180.42,0.2877,14000.0,5981.45,0.0521,0.0466,24378.38,26818.68,0.1014
KN-010-1042,19474.82,20011.71,0.3808,12291.67,6327.85,0.0658,0.0849,30840.91,30020.88,0.1205
KN-002-1057,21048.78,23573.0,0.337,11481.48,6326.81,0.074,0.074,22263.16,23344.87,0.1562
RI-007-1020,20900.94,23739.2,0.5808,10951.22,5744.35,0.1123,0.0959,22929.41,24648.38,0.2329
KN-002-1111,19833.33,23131.82,0.3288,11750.0,5923.12,0.0767,0.0493,23803.57,23949.51,0.1534
KN-006-1052,21440.0,21370.92,0.3425,11800.0,5727.13,0.0548,0.0521,18608.7,25660.59,0.126
KN-004-1096,20160.0,23848.45,0.3425,10235.29,5889.92,0.0466,0.0986,21281.25,21807.42,0.0877
LA-004-1323,19105.26,22730.19,0.3123,11000.0,6144.1,0.0466,0.0603,20142.86,23810.26,0.0575
RI-003-1103,18684.47,20536.28,0.5644,12764.71,5944.48,0.0932,0.1233,21462.69,23853.29,0.1836
LA-014-1267,20711.11,19163.54,0.2466,9266.67,4787.88,0.0411,0.0521,19700.0,23566.82,0.1096
RI-006-1056,20950.89,22868.55,0.6137,11195.12,5591.15,0.1123,0.1205,18833.33,18673.84,0.2137
EN-008-1089,22230.41,25713.38,0.5945,11288.89,5798.21,0.1233,0.1479,16806.82,16401.47,0.2411
LA-002-1122,28350.52,26161.37,0.2658,10666.67,5820.55,0.0329,0.063,21744.68,23557.95,0.1288
EN-009-1071,21851.85,25843.67,0.6658,11853.66,5803.28,0.1123,0.1452,20934.78,23769.87,0.2521
RI-005-1099,19383.18,21263.23,0.5863,10571.43,5618.54,0.1151,0.0959,24855.07,26456.0,0.189
KN-005-1137,19712.0,20476.9,0.3425,14652.17,5820.1,0.063,0.0712,19022.22,23061.67,0.1233
LA-013-1166,23318.18,24416.66,0.2411,12090.91,6353.92,0.0603,0.0301,16235.29,13904.56,0.0932
LA-003-1060,29913.04,28706.42,0.2521,11136.36,5784.18,0.0603,0.0329,18000.0,14855.55,0.0904
KN-008-1086,22092.59,26173.95,0.2959,13809.52,6177.53,0.0575,0.0877,18585.37,19116.71,0.1123
KN-004-1076,22024.59,23906.66,0.3342,12423.08,6249.31,0.0712,0.0658,18309.52,19797.13,0.1151
EN-007-1015,21242.01,24335.59,0.6,12807.69,5881.3,0.1425,0.0986,22256.1,23917.46,0.2247
LA-013-1060,24311.11,23070.8,0.2466,9000.0,4840.31,0.0411,0.0438,24826.09,30244.41,0.126
LA-012-1218,25418.6,26968.59,0.2356,11571.43,5005.71,0.0575,0.0411,19756.76,27082.6,0.1014
EN-005-1064,20545.05,22630.92,0.6082,10777.78,5780.16,0.074,0.1315,21514.85,23537.47,0.2767
EN-009-1061,20697.25,23159.64,0.5973,12444.44,6308.47,0.0986,0.1205,19869.05,22022.87,0.2301
FC-005-1032,22085.99,23319.2,0.8603,9626.67,6723.84,0.2055,0.1836,21333.33,21291.37,0.337
LA-010-1157,23147.06,24392.58,0.2795,11476.19,6345.23,0.0575,0.0493,23285.71,27283.77,0.1151
EN-008-1013,21696.83,24068.72,0.6055,9864.86,4448.23,0.1014,0.1096,21505.15,24373.02,0.2658
FC-001-1016,22717.72,24464.84,0.9123,9864.86,6966.31,0.2027,0.1863,22423.36,25773.54,0.3753
LA-005-1044,24265.96,28299.54,0.2575,12360.0,6061.35,0.0685,0.0384,20710.53,23770.19,0.1041
LA-009-1080,25289.26,25046.44,0.3315,13120.0,6418.2,0.0685,0.0438,17852.94,16343.16,0.0932
LA-015-1148,21370.0,21858.43,0.274,13833.33,5731.75,0.0493,0.0274,22736.84,18457.67,0.1041
LA-013-1105,24523.81,26444.52,0.2301,11500.0,6391.63,0.0493,0.0384,16552.63,19757.58,0.1041
LA-007-1218,23323.23,22915.92,0.2712,12631.58,5936.8,0.0521,0.0493,25285.71,30213.88,0.0767
RI-002-1052,21159.42,23872.82,0.5671,13816.33,6230.55,0.1342,0.1151,25809.52,27439.08,0.2301
RI-002-1102,19872.64,21973.44,0.5808,10920.0,5896.52,0.137,0.0795,18926.83,21646.3,0.2247
KN-006-1036,20195.65,23834.24,0.2521,11333.33,5903.44,0.0822,0.0384,20931.82,23457.43,0.1205
LA-001-1274,20155.17,21110.31,0.3178,10157.89,5449.4,0.0521,0.0466,21000.0,25869.49,0.074
KN-004-1044,22815.13,25473.8,0.326,12695.65,6174.98,0.063,0.074,17780.49,22067.52,0.1123
KN-009-1045,19635.51,19594.66,0.2932,11769.23,5750.18,0.0712,0.0493,23528.3,23837.27,0.1452
FC-004-1033,20933.53,23948.71,0.9479,10200.0,7210.3,0.1918,0.1753,20150.68,21712.65,0.4
EN-005-1070,22135.92,23490.96,0.5644,10807.69,5847.87,0.1425,0.1151,23217.82,26896.32,0.2767
KN-002-1027,21347.52,23060.17,0.3863,14478.26,6021.7,0.063,0.0548,18659.09,22004.17,0.1205
LA-014-1003,29539.47,27388.29,0.2082,9722.22,5131.28,0.0493,0.0548,24520.83,25885.17,0.1315
FC-002-1022,23233.44,24783.03,0.8685,8346.15,5519.33,0.2137,0.1863,20142.86,21926.58,0.3644
FC-001-1001,21221.24,23236.78,0.9288,9485.71,7308.41,0.1918,0.2,19707.48,22315.98,0.4027
EN-004-1019,21747.79,24715.32,0.6192,12567.57,6094.35,0.1014,0.1233,15425.0,14341.91,0.2192
LA-010-1145,20144.23,20192.0,0.2849,9875.0,5251.98,0.0438,0.063,19371.43,24596.85,0.0959
KN-004-1221,21611.11,24830.3,0.3452,14115.38,5687.37,0.0712,0.0548,22222.22,21259.11,0.1726
LA-013-1168,24531.91,23470.73,0.2575,10789.47,5276.56,0.0521,0.0411,21119.05,25700.15,0.1151
LA-001-1217,23797.98,23583.11,0.2712,13173.91,5820.44,0.063,0.074,25187.5,22788.56,0.0877
FC-002-1031,21003.12,23291.33,0.8767,10402.99,6457.46,0.1836,0.189,22394.16,24195.39,0.3753
FC-005-1019,19919.88,22771.04,0.9233,9431.03,7343.96,0.1589,0.1945,20918.52,22199.92,0.3699
KN-005-1194,18747.9,21564.34,0.326,13920.0,6034.07,0.0685,0.0877,24734.69,27550.54,0.1342
EN-003-1096,20836.45,22890.36,0.5863,11565.22,6166.76,0.126,0.1342,21623.38,23526.04,0.211
KN-006-1018,24939.13,25062.48,0.3151,10852.94,5399.96,0.0932,0.0603,22384.62,23693.9,0.1068
EN-009-1013,19559.41,22930.11,0.5534,10960.0,5879.61,0.137,0.1425,20858.7,23589.71,0.2521
KN-009-1056,17316.24,20402.69,0.3205,10571.43,5635.35,0.0575,0.063,23600.0,25452.64,0.1507
EN-002-1004,19826.61,22186.32,0.6795,12489.36,5867.64,0.1288,0.1178,19510.64,24796.26,0.2575
EN-004-1009,21655.02,24869.46,0.6274,10508.77,5428.51,0.1562,0.1288,18844.04,18834.16,0.2986
LA-006-1167,23168.07,22718.74,0.326,11120.0,5348.83,0.0685,0.0493,26714.29,29794.18,0.0767
EN-006-1089,20863.07,22545.74,0.6603,11407.41,5604.98,0.1479,0.126,21238.64,24202.21,0.2411
EN-007-1083,22291.08,24661.86,0.5836,11600.0,5759.27,0.1096,0.1534,24280.49,26831.1,0.2247
KN-001-1202,22737.86,24608.69,0.2822,11107.14,5940.07,0.0767,0.0877,20250.0,22296.08,0.1096
FC-004-1012,21750.0,23458.36,0.8767,9014.08,6677.24,0.1945,0.1753,27510.95,28299.38,0.3753
EN-006-1011,21233.64,23720.43,0.5863,12666.67,6419.16,0.1315,0.1233,20373.63,22749.19,0.2493
RI-002-1094,20829.69,21976.1,0.6274,10829.27,5843.38,0.1123,0.1178,18714.29,20928.07,0.2493
KN-010-1112,19991.23,21700.49,0.3123,11629.63,5691.75,0.074,0.0575,22039.22,26205.31,0.1397
LA-002-1074,27267.33,28031.02,0.2767,9066.67,4772.94,0.0411,0.0438,20645.16,20204.86,0.0849
FC-001-1003,18841.4,20700.9,1.0192,8765.62,6004.61,0.1753,0.1836,24508.98,26353.22,0.4575
KN-006-1080,18610.0,22986.99,0.274,11466.67,5963.88,0.0822,0.0712,17543.48,18299.61,0.126
EN-007-1036,20166.67,23618.42,0.6575,10022.73,5018.52,0.1205,0.1397,21161.9,22547.01,0.2877
LA-014-1001,26504.67,28184.16,0.2932,13363.64,6484.95,0.0301,0.0466,20000.0,21143.01,0.1041
KN-007-1051,17112.07,21540.16,0.3178,12347.83,6470.98,0.063,0.0493,17268.29,18579.59,0.1123
KN-002-1010,19775.86,22552.0,0.3178,12000.0,6242.03,0.0767,0.0822,16865.38,13692.75,0.1425
KN-006-1134,18716.98,18889.53,0.2904,11031.25,5888.67,0.0877,0.0438,22200.0,25554.4,0.1233
LA-012-1206,26602.15,27244.92,0.2548,10000.0,5196.15,0.0301,0.0548,16078.95,14381.64,0.1041
KN-004-1043,20048.95,21532.92,0.3918,12793.1,6315.4,0.0795,0.0685,27350.0,24306.33,0.1096
KN-008-1157,18669.42,22614.67,0.3315,12800.0,5642.1,0.0685,0.0849,22441.18,24683.69,0.0932
LA-010-1052,21885.71,26005.66,0.2877,9666.67,4330.13,0.0247,0.0822,19634.15,23230.11,0.1123
RI-007-1068,24188.94,27506.67,0.5945,12444.44,6244.74,0.0986,0.0904,18949.37,20691.82,0.2164
LA-011-1037,18625.0,21629.35,0.2849,13166.67,6161.96,0.0329,0.0493,20973.68,24711.84,0.1041
EN-002-1017,21856.54,21749.06,0.6493,11243.9,5830.01,0.1123,0.1205,25023.53,27841.38,0.2329
LA-004-1114,23801.98,23165.07,0.2767,11920.0,5306.6,0.0685,0.063,25487.18,29112.19,0.1068
KN-007-1133,18429.75,20564.06,0.3315,11208.33,5453.19,0.0658,0.0658,20526.32,25802.9,0.1562
FC-002-1003,23095.38,22565.68,0.8904,8803.03,6959.71,0.1808,0.2027,20544.78,24689.23,0.3671
RI-008-1066,19970.44,22801.75,0.5562,11975.61,6334.38,0.1123,0.074,22000.0,23084.51,0.211
EN-003-1050,21702.93,23258.31,0.6548,10851.85,5708.01,0.1479,0.1151,18121.5,19288.63,0.2932
KN-004-1134,18729.51,18646.36,0.3342,11916.67,6071.43,0.0658,0.0959,20714.29,23210.89,0.1151
KN-004-1009,19191.3,18585.46,0.3151,12750.0,6188.91,0.0548,0.074,27614.04,29539.17,0.1562
KN-007-1143,17057.38,18954.62,0.3342,11173.91,6072.68,0.063,0.0822,15658.54,12953.01,0.1123
EN-003-1045,23862.07,27955.56,0.6356,11105.26,5578.87,0.1041,0.0712,24500.0,29178.58,0.263
EN-007-1054,22674.31,25784.81,0.5973,11345.45,5796.61,0.1507,0.1425,21696.08,25058.26,0.2795
LA-003-1161,22766.36,22674.31,0.2932,10772.73,5397.81,0.0603,0.0493,27500.0,26939.58,0.0767
KN-010-1079,22062.5,23382.17,0.3068,12703.7,6305.16,0.074,0.0603,19756.1,26442.18,0.1123
LA-001-1119,22455.56,21541.26,0.2466,13347.83,6117.1,0.063,0.0548,21343.75,21796.14,0.0877
FC-001-1010,22667.61,25458.99,0.9726,9095.24,5983.08,0.1726,0.1699,23430.56,23318.01,0.3945
LA-012-1187,28382.98,29025.43,0.2575,10966.67,5786.33,0.0822,0.0466,17843.75,13440.69,0.0877
RI-010-1122,20539.22,23675.42,0.5589,11236.84,5523.58,0.1041,0.0904,18238.1,19343.2,0.2301
EN-009-1024,20810.34,20913.93,0.6356,11260.0,5727.88,0.137,0.1342,19485.71,21077.75,0.2877
FC-004-1010,22976.47,25248.84,0.9315,10106.06,7012.36,0.1808,0.1973,20590.28,23475.75,0.3945
LA-015-1065,19233.33,21364.7,0.2466,10875.0,5620.71,0.0658,0.0438,11952.38,13414.46,0.0575
LA-013-1014,21757.89,24463.05,0.2603,11826.09,6235.18,0.063,0.0548,21511.63,26402.9,0.1178
LA-014-1180,18762.89,18791.49,0.2658,12882.35,5555.2,0.0466,0.0959,23000.0,26235.01,0.0822
EN-008-1065,20073.64,20587.25,0.7068,11479.17,5982.21,0.1315,0.1178,19982.14,20965.43,0.3068
LA-008-1186,24650.0,24317.92,0.274,10500.0,6154.75,0.0603,0.0603,23744.19,23778.84,0.1178
RI-010-1044,21321.78,22058.05,0.5534,12250.0,5835.44,0.1205,0.0986,21192.31,23138.8,0.2137
RI-006-1010,19048.54,21767.45,0.5644,12341.46,6338.81,0.1123,0.1123,19042.86,21523.45,0.1918
EN-004-1013,22660.29,25346.91,0.5726,11113.64,5989.2,0.1205,0.1315,23266.67,22552.71,0.2466
RI-006-1074,20869.37,20579.08,0.6082,11795.45,6155.28,0.1205,0.1151,22290.32,25951.65,0.1699
LA-010-1170,27223.21,28606.28,0.3068,11000.0,6429.1,0.0438,0.0466,29227.27,28274.05,0.0603
LA-008-1241,24504.85,27092.75,0.2822,10500.0,5307.91,0.0658,0.0603,16055.56,19039.72,0.0986
FC-001-1017,21500.0,25279.67,0.9151,9280.49,6773.72,0.2247,0.2082,25107.14,23922.75,0.3836
FC-005-1018,21129.41,22397.61,0.9315,10823.53,6882.69,0.1863,0.2082,21632.81,22682.29,0.3507
KN-010-1127,24625.0,26179.75,0.3288,12150.0,6046.09,0.0548,0.0575,18860.47,21604.21,0.1178
RI-004-1062,20962.79,21446.05,0.589,9760.0,5433.54,0.0685,0.1068,21694.92,24944.94,0.1616
EN-006-1031,25661.42,27925.99,0.6959,12816.33,5932.51,0.1342,0.1288,24557.89,26089.34,0.2603
FC-001-1035,20647.8,22134.13,0.8712,9830.77,6620.44,0.1781,0.1589,23544.78,26117.9,0.3671
EN-009-1008,18898.68,20754.86,0.6219,10937.5,5502.05,0.1315,0.1123,19472.53,22659.48,0.2493
KN-009-1191,22847.62,25345.6,0.2877,11727.27,5953.64,0.0603,0.0685,21913.04,23644.43,0.126
KN-001-1207,23515.87,25406.06,0.3452,10606.06,5207.8,0.0904,0.074,21200.0,23708.92,0.1096
LA-015-1121,26534.09,26849.07,0.2411,12269.23,6422.2,0.0712,0.0411,25216.22,27286.68,0.1014
FC-001-1022,20952.91,23790.07,0.989,9414.63,6608.92,0.2247,0.211,20370.97,21500.41,0.3397
EN-009-1093,21495.54,22821.4,0.6137,10473.68,5674.68,0.1041,0.1288,22907.22,25510.24,0.2658
RI-003-1065,18665.09,21355.85,0.5808,11296.3,5468.9,0.074,0.1315,22915.79,26011.73,0.2603
EN-001-1088,17496.0,18708.55,0.6849,12290.91,5864.75,0.1507,0.1534,20712.64,21084.5,0.2384
LA-015-1143,21464.65,22305.99,0.2712,11566.67,5817.24,0.0822,0.074,16666.67,13866.93,0.0904
EN-008-1010,20250.0,22871.31,0.5699,10760.87,5134.57,0.126,0.126,24336.54,26469.11,0.2849
KN-005-1123,22273.5,25568.24,0.3205,11538.46,5927.77,0.0712,0.0548,17282.61,18340.8,0.126
LA-007-1053,24245.61,24051.04,0.3123,10800.0,6096.45,0.0685,0.0493,24432.43,27541.42,0.1014
RI-007-1093,22877.27,25144.67,0.6027,10677.42,6193.48,0.0849,0.0849,25234.38,29575.16,0.1753
EN-009-1088,21048.19,22377.93,0.6822,10976.19,5944.82,0.1151,0.1288,19458.82,18936.33,0.2329
RI-005-1055,21435.19,22498.48,0.5918,10743.59,5014.28,0.1068,0.1151,21956.04,22552.12,0.2493
LA-001-1007,20913.58,17422.11,0.2219,11857.14,6479.04,0.0384,0.0466,22676.47,25273.92,0.0932
LA-010-1106,21458.72,20091.24,0.2986,10523.81,5679.96,0.0575,0.0548,13965.52,11598.9,0.0795
EN-005-1043,18717.82,20593.06,0.5534,11266.67,5540.76,0.1233,0.1288,29033.71,31797.82,0.2438
KN-008-1074,20693.55,22243.0,0.3397,9227.27,4780.24,0.0603,0.0849,18674.42,16304.72,0.1178
RI-009-1012,18334.98,21032.42,0.5562,12741.94,6005.37,0.0849,0.1178,25283.95,27593.58,0.2219
EN-006-1058,22442.55,24429.91,0.6438,11854.17,6267.07,0.1315,0.1123,20054.95,22747.58,0.2493
RI-006-1081,20367.65,21594.27,0.5589,9857.14,4935.72,0.0959,0.1178,23116.28,23677.95,0.2356
KN-005-1138,19752.0,19791.92,0.3425,11222.22,5876.73,0.0493,0.0438,25634.15,28379.36,0.1123
KN-004-1173,19422.76,24026.63,0.337,10090.91,4530.2,0.0904,0.0548,24902.44,26270.52,0.1123
EN-009-1010,21330.32,24823.09,0.6055,12434.78,6009.81,0.126,0.1123,22804.12,26251.84,0.2658
LA-010-1150,23388.89,24019.79,0.2959,10437.5,4898.55,0.0438,0.0411,18657.89,17488.65,0.1041
KN-009-1138,21935.19,22285.85,0.2959,12275.86,5860.87,0.0795,0.0575,23435.9,23949.28,0.1068
EN-007-1103,21460.53,23201.91,0.6247,11365.85,5782.54,0.1123,0.1452,22026.67,23511.91,0.2055
LA-015-1035,23384.62,20509.67,0.2849,11444.44,5627.9,0.0493,0.063,19795.45,25392.34,0.1205
EN-004-1074,18775.7,19657.54,0.5863,12859.65,5835.36,0.1562,0.1096,19950.0,20184.19,0.274
LA-005-1111,24361.7,26457.45,0.2575,12200.0,6100.91,0.0548,0.0301,19870.97,21566.55,0.0849
LA-013-1195,24291.67,22178.81,0.1973,8000.0,3691.21,0.0466,0.0466,24750.0,24492.54,0.1096
KN-008-1054,20919.71,23769.75,0.3753,13050.0,5977.81,0.0548,0.0575,18078.43,18796.64,0.1397
LA-013-1040,24149.43,26018.12,0.2384,10764.71,5629.49,0.0466,0.0493,23975.61,26680.97,0.1123
LA-005-1214,23659.09,22377.06,0.2411,9789.47,5652.72,0.0521,0.0411,19203.7,23049.07,0.1479
EN-008-1086,19522.12,23075.95,0.6192,10842.11,5365.18,0.1041,0.0904,20560.0,21543.62,0.274
EN-005-1060,22560.0,24116.85,0.6164,12183.67,5904.35,0.1342,0.1178,20158.54,21287.84,0.2247
EN-007-1059,19368.64,20394.09,0.6466,10894.74,5741.22,0.1041,0.1671,19158.88,22556.49,0.2932
RI-004-1039,21544.12,24757.21,0.5589,11625.0,5772.11,0.1096,0.1096,19060.98,20690.16,0.2247
FC-001-1008,19010.84,22335.02,1.011,9684.21,6316.56,0.2082,0.2356,21598.59,24733.2,0.389
RI-005-1091,20030.3,23144.05,0.6329,11583.33,5694.52,0.0658,0.1479,23134.15,24762.46,0.2247
LA-013-1188,24605.77,28059.72,0.2849,9533.33,5591.66,0.0411,0.0466,14717.95,17563.34,0.1068
RI-007-1067,20769.59,24620.69,0.5945,11585.37,5731.39,0.1123,0.0959,19000.0,20096.16,0.2685
LA-010-1103,27275.86,25797.37,0.2384,14818.18,7194.7,0.0301,0.0603,23850.0,27233.6,0.1096
RI-003-1108,19639.18,22013.51,0.5315,11545.45,5431.91,0.0904,0.1151,21132.35,20776.64,0.1863
LA-014-1119,24252.34,25836.6,0.2932,11062.5,5650.59,0.0438,0.0521,26828.57,25230.1,0.0959
RI-006-1084,21459.02,22108.55,0.5014,11750.0,6091.56,0.0986,0.1068,17333.33,17194.12,0.2548
LA-010-1248,21911.11,24139.41,0.2466,10730.77,5422.6,0.0712,0.0329,23962.96,26506.14,0.074
LA-005-1209,21505.49,24003.41,0.2493,11300.0,6027.13,0.0548,0.0658,23210.53,26188.67,0.1041
RI-003-1010,22370.04,25888.88,0.6219,11818.18,6146.55,0.1205,0.1096,21756.41,25037.21,0.2137
KN-007-1132,18951.39,20689.96,0.3945,11034.48,5852.24,0.0795,0.074,18545.45,18404.32,0.1205
LA-001-1133,23080.81,26016.74,0.2712,13666.67,6335.09,0.0575,0.0438,18903.23,16357.17,0.0849
EN-006-1040,20557.97,22655.21,0.7562,11857.14,5994.19,0.1151,0.1644,17488.64,15498.61,0.2411
LA-012-1224,20860.0,21501.24,0.274,13000.0,6061.09,0.0548,0.0438,23325.58,28012.52,0.1178
EN-002-1035,20158.73,20943.45,0.6904,12309.52,5940.72,0.1151,0.1123,19646.46,23121.82,0.2712
KN-009-1034,21333.33,22979.47,0.2959,11000.0,6123.72,0.0466,0.0658,15961.54,20238.73,0.1425
EN-004-1026,21963.8,23692.89,0.6055,11956.52,6117.21,0.126,0.1123,20219.3,21435.13,0.3123
FC-002-1032,22609.47,23774.69,0.926,9607.14,6454.69,0.2301,0.2219,21883.56,24919.87,0.4
LA-012-1241,21164.95,23272.25,0.2658,13913.04,6646.35,0.063,0.0438,21771.43,20354.34,0.0959
KN-009-1189,23510.79,24657.76,0.3808,11678.57,6481.05,0.0767,0.0438,22019.23,26438.6,0.1425
KN-006-1050,22201.75,24786.59,0.3123,11208.33,6567.24,0.0658,0.0603,24560.0,27777.66,0.137
RI-001-1013,20072.46,22815.63,0.5671,10962.26,5395.73,0.1452,0.1205,18870.59,21333.4,0.2329
RI-005-1048,17804.02,18852.34,0.5452,10860.47,5930.48,0.1178,0.1096,16977.53,16825.97,0.2438
KN-006-1012,20875.0,24635.47,0.2849,11384.62,6053.61,0.0712,0.0575,21543.86,27579.8,0.1562
LA-009-1066,20654.55,22937.26,0.3014,9523.81,4802.28,0.0575,0.063,23029.41,28044.86,0.0932
KN-002-1085,17821.14,21964.96,0.337,12428.57,6367.91,0.0767,0.0877,15119.05,17843.77,0.1151
FC-001-1044,23616.71,25500.2,0.9507,8602.74,5707.55,0.2,0.1945,18734.27,22221.03,0.3918
KN-005-1088,21190.48,23001.12,0.3452,14520.0,6377.83,0.0685,0.0493,16238.81,16912.51,0.1836
LA-012-1136,22065.93,23735.96,0.2493,10333.33,6080.27,0.0329,0.0384,27564.1,34590.69,0.1068
KN-007-1101,21603.96,23564.84,0.2767,11181.82,5811.62,0.0603,0.0712,18403.51,20117.39,0.1562
EN-006-1065,21654.47,23667.56,0.674,10943.4,5439.93,0.1452,0.0986,20734.94,23676.21,0.2274
EN-009-1015,22066.96,24008.59,0.6137,11590.91,5739.78,0.1205,0.1397,18956.04,23840.63,0.2493
LA-010-1129,21607.84,22288.9,0.2795,10375.0,3947.57,0.0438,0.0575,22918.37,19317.35,0.1342
LA-011-1289,24841.58,25569.02,0.2767,11200.0,6109.53,0.0548,0.0411,23794.12,29213.72,0.0932
FC-005-1006,19738.6,22781.81,0.9014,9052.63,5724.08,0.1562,0.2329,20596.15,22911.83,0.4274
